"측정소명","년/월/일","수위(cm)","최고수위(cm)","최저수위(cm)"
"남양주시(부평교)","2021/01/21","24","",""
"남양주시(부평교)","2021/01/20","24","",""
"남양주시(부평교)","2021/01/19","24","",""
"남양주시(부평교)","2021/01/18","24","",""
"남양주시(부평교)","2021/01/17","24","",""
"남양주시(부평교)","2021/01/16","24","",""
"남양주시(부평교)","2021/01/15","24","",""
"남양주시(부평교)","2021/01/14","24","",""
"남양주시(부평교)","2021/01/13","24","",""
"남양주시(부평교)","2021/01/12","24","",""
"남양주시(부평교)","2021/01/11","24","",""
"남양주시(부평교)","2021/01/10","24","",""
"남양주시(부평교)","2021/01/09","24","",""
"남양주시(부평교)","2021/01/08","24","",""
"남양주시(부평교)","2021/01/07","24","",""
"남양주시(부평교)","2021/01/06","24","",""
"남양주시(부평교)","2021/01/05","24","",""
"남양주시(부평교)","2021/01/04","24.21","",""
"남양주시(부평교)","2021/01/03","25","",""
"남양주시(부평교)","2021/01/02","25","",""
"남양주시(부평교)","2021/01/01","25","",""
"김포시(전류리)","2021/12/31","-57","",""
"김포시(전류리)","2021/12/30","35","",""
"김포시(전류리)","2021/12/29","189","",""
"김포시(전류리)","2021/12/28","238","",""
"김포시(전류리)","2021/12/27","216","",""
"김포시(전류리)","2021/12/26","75","",""
"김포시(전류리)","2021/12/25","58.29","",""
"김포시(전류리)","2021/12/24","187","",""
"김포시(전류리)","2021/12/23","167","",""
"김포시(전류리)","2021/12/22","141","",""
"김포시(전류리)","2021/12/21","127","",""
"김포시(전류리)","2021/12/20","138.54","",""
"김포시(전류리)","2021/12/19","74","",""
"김포시(전류리)","2021/12/18","94.92","",""
"김포시(전류리)","2021/12/17","8","",""
"김포시(전류리)","2021/12/16","-28","",""
"김포시(전류리)","2021/12/15","-29","",""
"김포시(전류리)","2021/12/14","51","",""
"김포시(전류리)","2021/12/13","120","",""
"김포시(전류리)","2021/12/12","68.75","",""
"김포시(전류리)","2021/12/11","85.79","",""
"김포시(전류리)","2021/12/10","271","",""
"김포시(전류리)","2021/12/09","230","",""
"김포시(전류리)","2021/12/08","146.08","",""
"김포시(전류리)","2021/12/07","188","",""
"김포시(전류리)","2021/12/06","175.29","",""
"김포시(전류리)","2021/12/05","174.71","",""
"김포시(전류리)","2021/12/04","156.13","",""
"김포시(전류리)","2021/12/03","42","",""
"김포시(전류리)","2021/12/02","-28","",""
"김포시(전류리)","2021/12/01","-46","",""
"김포시(전류리)","2021/11/30","90","",""
"김포시(전류리)","2021/11/29","196","",""
"김포시(전류리)","2021/11/28","59.79","",""
"김포시(전류리)","2021/11/27","66","",""
"김포시(전류리)","2021/11/25","194","",""
"김포시(전류리)","2021/11/24","159","",""
"김포시(전류리)","2021/11/23","129","",""
"김포시(전류리)","2021/11/22","151","",""
"김포시(전류리)","2021/11/21","149.21","",""
"김포시(전류리)","2021/11/20","143.92","",""
"김포시(전류리)","2021/11/19","71","",""
"김포시(전류리)","2021/11/18","37","",""
"김포시(전류리)","2021/11/17","8","",""
"김포시(전류리)","2021/11/16","-29","",""
"김포시(전류리)","2021/11/15","-36","",""
"김포시(전류리)","2021/11/14","93.63","",""
"김포시(전류리)","2021/11/13","69.83","",""
"김포시(전류리)","2021/11/12","271","",""
"김포시(전류리)","2021/11/11","96.46","",""
"김포시(전류리)","2021/11/10","119.92","",""
"김포시(전류리)","2021/11/09","150","",""
"김포시(전류리)","2021/11/08","187.25","",""
"김포시(전류리)","2021/11/07","196.67","",""
