"측정소명","년","월","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","SS(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","총대장균군수(총대장균군수/100ml)","클로로필 a(㎎/㎥)","분원성대장균군수"
"포천천","2021","03","9.8","2.6","5.5","5","6.495","0.08","4.4","7.2","22000","4.4","2100"
"포천천","2021","04","7.8","3.1","6.2","5.4","4.506","0.053","3.9","7.2","35000","7.3","7900"
"포천천","2021","05","6.1","1.9","4.9","7","4.657","0.054","3.2","6.9","4900","8.6","450"
"포천천","2021","06","7.8","2.6","5.5","7.1","4.66","0.061","4.2","7.4","35000","5.5","4600"
"포천천","2021","07","7.7","2.5","6.8","9.4","3.853","0.077","5.2","7.2","2300","7.2","1300"
"포천천","2021","08","8.8","2.1","5.1","6.6","3.746","0.067","3.7","7.1","1700","30.9","200"
"포천천","2021","09","8.3","2.5","6.2","3.4","3.797","0.074","4.1","7.5","13000","7","2200"
"포천천","2021","10","9","2","5.5","4.8","5.096","0.07","3.3","7.4","3300","2.7","2100"
"포천천","2021","11","10.3","2","5.4","4","5.815","0.031","3.8","7.5","2700","10","450"
"포천천","2021","12","13.1","1.7","3.2","2.4","7.72","0.046","2.5","7.4","3300","4.5","610"
"왕숙천1","2020","01","14.7","1.3","3.6","0.8","3.593","0.023","1.9","7.9","","",""
"왕숙천1","2020","02","13","1.3","3","1","3.092","0.02","1.6","8.1","","",""
"왕숙천1","2020","03","11.6","1.2","2.5","1.2","3.159","0.019","1.7","8.3","","",""
"왕숙천1","2020","04","10.7","1.1","3","2.8","2.355","0.023","1.3","8.2","","",""
"왕숙천1","2020","05","10.9","0.8","2.9","3.6","2.138","0.022","1.7","8.3","","",""
"왕숙천1","2020","06","9.2","1","3.8","2.7","1.19","0.028","1.8","8.1","","",""
"왕숙천1","2020","07","8.5","0.5","2.7","3.6","3.012","0.036","1.9","8","","",""
"왕숙천1","2020","08","8.2","0.6","2.4","3.8","2.554","0.025","1.5","8.3","","",""
"왕숙천1","2020","09","8.4","1.1","4.7","47.1","2.796","0.091","1.6","8","","",""
"왕숙천1","2020","10","10.2","0.8","2.4","1.4","2.296","0.042","1.1","8.5","","",""
"왕숙천1","2020","11","10.6","1.4","4","11","2.736","0.05","1.9","8.3","","",""
"왕숙천1","2020","12","10.5","1","2.7","0.5","3.317","0.015","1.2","8.6","","",""
"왕숙천1","2021","01","","","","","","","","","","",""
"왕숙천1","2021","02","13.5","1","3.1","3.4","4.176","0.016","1.3","8.4","","",""
"왕숙천1","2021","03","12.3","0.7","2.4","1.1","4.193","0.015","0.9","8.2","","",""
"왕숙천1","2021","04","11.2","0.7","2.3","1.5","4.099","0.02","0.9","8","","",""
"왕숙천1","2021","05","9.2","1","2.4","1.4","3.053","0.021","1.1","8","","",""
"왕숙천1","2021","06","8.9","1","2.8","1.7","2.84","0.044","1.3","8.2","","",""
"왕숙천1","2021","07","8.1","1.1","2.9","3.6","2.479","0.037","1.7","8.1","","",""
"왕숙천1","2021","08","9.3","0.7","3","1.8","1.463","0.031","2.2","8.1","","",""
"왕숙천1","2021","09","9.8","0.8","3.2","2.6","1.995","0.056","1.8","8.2","","",""
"왕숙천1","2021","10","10.2","0.6","2.9","0.9","2.66","0.028","1.1","8.1","","",""
"왕숙천1","2021","11","12.2","0.6","3","1","3.347","0.036","1","8.3","","",""
"왕숙천1","2021","12","12.3","0.1","1.8","0.4","3.562","0.026","0.5","8.1","","",""
"봉선사천","2020","01","15.4","1.5","3.1","3.8","3.681","0.071","1.7","8.2","","",""
"봉선사천","2020","02","13.5","1.3","2.7","1.3","3.12","0.068","1.5","7.9","","",""
"봉선사천","2020","03","12.1","1.4","3.2","3.3","2.803","0.071","2","8.3","","",""
"봉선사천","2020","04","11.6","1.2","3.3","4.9","2.616","0.079","1.5","8.3","","",""
"봉선사천","2020","05","10.8","1.1","3.4","3.9","2.408","0.081","1.8","8.4","","",""
"봉선사천","2020","06","9.9","1","3.5","3.3","1.737","0.097","1.6","7.9","","",""
"봉선사천","2020","07","8.3","0.7","3.1","6","3.221","0.116","2.3","7.9","","",""
"봉선사천","2020","08","7.8","1.1","3.7","25.4","2.964","0.117","1.8","7.7","","",""
"봉선사천","2020","09","8.3","0.6","2.2","1.5","3.092","0.066","1.2","8.2","","",""
"봉선사천","2020","10","10.2","0.9","2.3","2","2.782","0.096","1.2","8.6","","",""
"봉선사천","2020","11","10.7","1.6","3.9","12.2","2.937","0.106","2","8.3","","",""
